THE DAVIDSONIAN

Marcus Williams shows off his vertical leap during a recent football practice. The Wildcats, who return 15 starters and 50 lettermen, have a shot at back-to-back winning seasons — something that hasn’t been done at Davidson in 38 years.

TUESDAY, SEPTEMBER 2, 1997

Football squad looks to post back-to-back winning seasons. Win standard of seven not out of reach

By MICHAEL J. KRUSE
Editor in Chief

In this, the 100th year of the program, the football team might actually have something to celebrate other than longevity. With 50 lettermen and 15 starters returning — including every player who threw or ran the football in 1996 — the Wildcats have a chance to post back-to-back winning seasons for the first time in 38 years, and have a realistic shot at breaking the school’s win record of seven.

Fullback Eric Ferguson, who set Davidson rookie records last year with 595 yards rushing and a team-leading 10 touchdowns, highlights a versatile ground attack. “Eric brings a whole new dimension,” Landis explained. “(Opponent defenses) are going to have to pay an awful lot of attention to him at fullback.” Which will, in turn, open more and wider holes for Lorenzo Moll, Nate Hagerman, and Bryan Kern.

Ben Spivey, who paced last year’s squad with four sacks, anchors the defensive front, and Cliff Henry, Chad Wright, and Donnie Johnson make up three-fourths of a formidable secondary. “As a whole team, this is the tightest, most close-knit group of guys we’ve had,” defensive coordinator Tripp Merritt said. “That’s what excites me.”

All of which has Wildcat gridiron fans, already giddy because of this season’s historical significance, thinking seven, eight, even nine wins — ridiculous numbers only two years ago when Davidson struggled through a mind-numbingly close-but-no-cigar 1-8-1 campaign.

Coach Tim Landis and his staff also welcomed more than 30 freshmen to summer training camp, as the roster ballooned to 84 — the largest number in years. “Even if it wasn’t the 100th year of football and we weren’t going to Tampa, we’d still be excited about this season,” Landis said last week.

Tommy Dugan, whose strong play in late October and November helped Davidson close 1996 with three straight wins, is poised to start at quarterback. But Matt Strader and Shaun Tyrance are pushing for playing time, creating healthy competition within possibly the Wildcats’ deepest position.

The skill positions are particularly well-fortified, and three tailbacks who are all entirely capable of contributing large chunks of yardage. Nine of the 11 Wildcats who caught a pass in 1996 also return, headed by Mike Harrington, whose 21 receptions were second-most on the squad.

The defense features a first-team line-backing corps of Shreve Ariail, Wes Thornton, and Chris Hess — last year’s three leading tacklers and a group Landis calls “the best in my time as head coach.”

“The Wildcats will play their 100th year of intercollegiate football this fall, and all signs point to a season to celebrate. The skill positions are particularly well-fortified, and 15 returning starters from a 6-4 club suggest Davidson will have back-to-back winning seasons for the first time in 30 years.” — Street and Smith’s

“Before we can concentrate on the win record, we’ve got to have back-to-back winning seasons,” Landis said. “That’s our No. 1 goal. If we get six wins real quickly, then we can adjust the bar.”

The players, though, are not nearly so cautious in their optimism. “The seniors keep upping the ante,” Ferguson said. “The other day, somebody said they wanted to go 11-0.”

“I think players believe again,” Merritt said, “people believe again, and coaches believe again.”

Centennial Season features celebratory Sewanee game and trip to Tampa

By MICHAEL J. KRUSE
Editor in Chief

A century of anything is a big deal, and the athletic department and football program are treating the Wildcats’ 100th year of intercollegiate gridiron competition as such. The whole season — thanks to this year’s Wildcats, a promising bunch — has the potential to be memorable, but the actual so-called Centennial Celebration will take place in conjunction with the team’s Sept. 20 game against Sewanee.

The itinerary includes a luncheon at 11:30, a parade at 12:30, a buffet dinner at 6:00, evening activities at the Union, and receptions for Davidson football alums from as far back as the 1930s. According to football secretary Jeanette Scire, the parade — which will go from Main Street to Concord Road and then into Richardson Field — will feature various mascots from the area, including the Panthers’ Sir Purr; dozens of cars which will carry former Wildcat captains, most notably those of the 1935 squad; jugglers, horses, and floats. Little Miss North Carolina, Miss Lake Norman, and Santa Claus, of all people, will also make appearances.

Rock Deaton, who has not missed a Davidson football game in roughly four decades — a stretch that amounts to approximately 300 consecutive games — will serve as Grand Marshall. Crowd estimates from various sources — some more reliable than others — have ranged anywhere from 2,500 to 10,000. The eventual number will definitely be somewhere in between, probably a little closer to 2,500 than 10,000.

It all makes it quite easy to overlook the game itself. “It’s almost too much to comprehend,” coach Tim Landis said in an August press release. “This will be one of the great moments in Davidson athletics history.” Not to mention a grand opportunity for his Wildcats to possibly lose focus on the task at hand. “Hopefully, it won’t be that much of a distraction,” Eric Ferguson said. “We’re just focusing in.”On practice and getting the job done. We'll let the historical significance take care of itself.” Other schedule highlights include the traditional Fall Break game versus Washington & Lee, a road contest against Emory & Henry, and a Homecoming matchup with Methodist, which dealt Davidson its only ugly defeat last season. The slate concludes Nov. 22 with the much-anticipated Tilt in Tampa with South Florida, which will effectively begin Davidson’s effort to play a I-AA schedule. The Bulls, a I-AA scholarship program in its inaugural year of competition, boast transfers from South Carolina, Kentucky, Purdue, Florida State, Michigan State, and Duke. For the Wildcats, though, the game will represent a bowl game of sorts. “It will be a great way to end if we already have six wins,” Ferguson said. “Ten games is our regular schedule, and that’s our bonus game.”

No. Name Pos. Ht. Wt. Yr. Hometown
59 Shreve Ariail MLB 5-11 220 Sr. Lorton, Va.
35 Gray Austin CB/P 5-11 177 Jr. Monroe, N.C.
90 Ted Bahnson DE 6-3 210 Fr. Advance, N.C.
23 Stan Baker WR 6-1 160 Jr. Athens, Ga.
47 Freeman Belser OLB 6-3 180 Fr. Columbia, S.C.
52 Matt Berry OL 6-1 220 Fr. Nashville, Tenn.
92 Jeff Blake P 6-1 170 Jr. Bethlehem, Pa.
86 Andy Blanton WR 6-3 180 Fr. Newton, N.C.
41 Brian Bokor OLB 5-10 180 Fr. Clearwater, Fla.
57 Brad Boland DE 6-2 215 Jr. New Canaan, Conn.
34 Ellis Boyle FB 5-10 187 Sr. Edenton, N.C.
38 Barry Bragg SS 5-6 160 Fr. Franklinton, N.C.
53 Brian Brown DT 5-10 210 Sr. Millville, N.Y.
19 Ryan Butler OLB 6-0 192 So. Oak City, N.C.
54 Andre Carelock DT 6-2 220 Fr. Lancaster, S.C.
65 Brian Cowan OL 6-2 230 Sr. Vidalia, Ga.
78 Daniel Cowan C 6-1 210 Jr. Cartersville, Ga.
55 Mike Cowles OL 6-2 234 Sr. St. Petersburg, Fla.
11 Corey Crawford QB 6-2 160 Fr. Newton, N.C.
25 Ryan Crawford CB 6-0 160 Fr. Newton, N.C.
18 Jon DeBord WR 6-0 180 Fr. Washington, D.C.
48 Edward Diggins FS 5-10 170 Fr. Compton, Calif.
68 Rowan Driscoll OL 6-1 212 So. Corinth, Vt.
9 Tommy Dugan OB 6-3 195 Jr. Gaithersburg, Md.
39 Edward Ellington K/P 6-0 165 Fr. Jackson, Miss.
89 Kelly Emerson WR 5-6 150 So. Gaithersburg, Md.
26 Eric Ferguson FB 5-11 218 So. Maggie Valley, N.C.
87 Alex Fernandez-Tatum WR 6-1 170 Sr. Madrid, Spain
31 Bryan Fish FS 5-10 178 Fr. Sylva, N.C.
44 Chris Frederick DE 6-2 226 Jr. Paris, France
3 John Gaither QB 5-11 145 So. Newton, N.C.
77 Ben Gates OL 6-2 260 Fr. Asheville, N.C.
37 Ryan Gist DT 5-11 210 Sr. Del Mar, Calif.
10 Nate Hagerman TB 5-10 178 Jr. Ft. Myers, Fla.
21 Richard Hale CB 5-11 174 Jr. Marathon, Fla.
1 Michael Harrington WR 5-10 180 Jr. Ormond Beach, Fla.
46 Bo Henderson OLB 5-11 195 Fr. Charlotte, N.C.
5 Clif Henry CB/P 6-0 192 Jr. Moultrie, Ga.
8 Chris Hess OLB 5-11 205 Sr. Cullowhee, N.C.
76 Matt Hurt OL 5-11 210 Fr. Greenwood, Miss.
29 Ryan Hutto CB 5-5 165 Fr. Lithonia, Ga.

No. Name Pos. Ht. Wt. Yr. Hometown
13 Matt Strader QB 6-2 190 Fr. New York, N.Y.
7 Donnie Johnson PS 6-0 175 So. Fredericksburg, Va.
85 Wes Jones TE 6-4 217 Jr. Stuart, Va.
80 Tarik Kahn WR 5-10 160 So. Philadelphia, Pa.
24 Bryan Kern TB 6-0 186 Jr. Emporia, Va.
84 Brian Langley K 6-0 219 Jr. Acton, Mass.
83 Karim Lawrence WR 6-0 165 Jr. Decatur, Ga.
67 John Lewis DE 6-2 190 Fr. New York, N.Y.
56 Joe Mahoney OL 5-11 245 Sr. Columbia, S.C.
88 Marcus McFadden WR 6-3 205 Fr. Winston-Salem, N.C.
51 Brian McGee OL 5-11 215 Jr. Charlotte, N.C.
99 Blake McNaughton TE 6-5 215 Fr. Kamuela, Hawaii
6 Lorenzo Moll TB 5-10 175 Jr. Key Biscayne, Fla.
17 Andrew Nash-Webber QB/PK 5-10 160 Fr. Arlington, Mass.
28 Sandy Neblett CB 5-10 168 Sr. Nashville, Tenn.
2 Max Nelson SS 5-11 175 Jr. Claremont, Calif.
27 Dave Nutt CB 5-8 165 Fr. Blue Bell, Pa.
45 Dave Parker DE 6-0 200 Fr. Richmond, Va.
42 Jeremiah Parvin FB 6-0 185 Fr. Rocky Mount, N.C.
33 Mike Perraut MLB 5-10 209 Jr. Bethesda, Md.
49 Mark Rachal DE 6-0 178 Fr. Saint Louis, Mo.
79 Ned Robinson OL 6-6 325 So. Chapin, S.C.
16 David Rosenberg WR 6-1 172 Fr. Wynnwood, Pa.
4 Eric Sapp WR 6-0 175 Sr. Miami, Fla.
62 Ben Sargent OL 6-3 270 Fr. Rincon, Ga.
73 Jerry Saunders OL 6-4 285 Fr. Winston-Salem, N.C.
71 Steve Sloan OL 6-0 230 Sr. Annandale, Va.
64 Ben Spivey DE 6-2 215 Jr. Columbus, Ohio
74 Chip Stewart OL 5-11 260 Sr. Huntersville, N.C.
14 Kevin Strange CB 5-10 170 Fr. Roswell, Ga.
14 Ryan Stroker QB/P 5-11 170 Fr. Charlotte, N.C.
40 Wes Thornton OLB 6-0 205 Jr. Pittsburgh, Pa.
